White Sponge,TPU Box,Threadball,Rubber,Thermocol,Hollow TPU,Green Sponge,wood,PP,PLA,PC,Nylon,Metal,HIPS,ABS
4.872922776,4.296187683,4.877810362,4.897360704,4.838709677,3.968719453,4.853372434,3.553274682,4.477028348,2.834799609,2.810361681,3.196480938,3.343108504,3.675464321,2.859237537
4.872922776,4.433040078,4.882697947,4.902248289,4.853372434,4.291300098,4.85826002,4.095796676,4.447702835,3.03030303,3.352883675,3.230694037,2.712609971,3.655913978,4.164222874
4.868035191,4.618768328,4.882697947,4.902248289,4.85826002,4.638318671,4.863147605,4.623655914,4.413489736,3.201368524,4.652981427,3.367546432,2.839687195,3.685239492,4.872922776
4.877810362,4.657869013,4.887585533,4.902248289,4.863147605,4.012707722,4.868035191,3.563049853,4.45259042,3.235581623,3.465298143,3.372434018,2.971652004,3.743890518,4.872922776
4.868035191,4.68230694,4.892473118,4.907135875,4.863147605,4.579667644,4.868035191,3.592375367,4.462365591,3.299120235,3.509286413,3.352883675,3.088954057,3.670576735,4.760508309
4.877810362,4.604105572,4.887585533,4.907135875,4.868035191,4.81427175,4.863147605,3.875855327,4.516129032,3.308895406,3.48973607,3.377321603,3.157380254,3.709677419,3.690127077
4.877810362,4.247311828,4.882697947,4.902248289,4.868035191,4.72629521,4.868035191,3.685239492,4.550342131,3.274682307,3.631476051,3.411534702,3.020527859,3.743890518,3.401759531
4.868035191,4.286412512,4.892473118,4.907135875,4.863147605,4.81427175,4.863147605,3.914956012,4.54056696,3.377321603,3.592375367,3.382209189,3.025415445,3.826979472,3.401759531
4.877810362,4.384164223,4.887585533,4.907135875,4.868035191,4.740957967,4.863147605,3.973607038,4.569892473,3.274682307,3.670576735,3.34799609,3.064516129,3.870967742,3.377321603
4.872922776,4.247311828,4.887585533,4.916911046,4.85826002,4.755620723,4.863147605,3.968719453,4.565004888,3.284457478,3.240469208,3.338220919,3.040078201,3.773216031,3.274682307
4.877810362,4.335288368,4.892473118,4.907135875,4.872922776,4.731182796,4.868035191,3.968719453,4.579667644,3.269794721,3.406647116,3.377321603,3.025415445,3.758553275,3.157380254
4.877810362,4.667644184,4.892473118,4.907135875,4.877810362,4.296187683,4.863147605,3.978494624,4.594330401,3.274682307,3.357771261,3.416422287,2.966764418,3.773216031,3.699902248
4.877810362,4.799608993,4.897360704,4.91202346,4.872922776,4.692082111,4.863147605,3.988269795,4.58455523,3.313782991,3.709677419,3.377321603,3.040078201,3.792766373,2.947214076
4.877810362,4.809384164,4.887585533,4.907135875,4.872922776,4.740957967,4.868035191,4.002932551,4.599217986,3.235581623,3.646138807,3.396871945,2.927663734,3.846529814,4.745845552
4.887585533,4.794721408,4.892473118,4.902248289,4.877810362,4.613880743,4.868035191,4.002932551,4.599217986,3.191593353,3.040078201,3.421309873,2.908113392,3.866080156,4.643206256
4.882697947,4.799608993,4.897360704,4.902248289,4.877810362,4.687194526,4.872922776,3.99315738,4.579667644,3.225806452,3.191593353,3.401759531,3.005865103,3.695014663,3.39198436
4.882697947,4.804496579,4.892473118,4.907135875,4.872922776,4.672531769,4.868035191,3.998044966,4.54056696,3.250244379,3.57771261,3.416422287,3.010752688,3.572825024,3.411534702
4.882697947,4.775171065,4.892473118,4.907135875,4.863147605,4.68230694,4.872922776,3.99315738,4.247311828,3.255131965,3.57771261,3.372434018,2.971652004,3.753665689,2.878787879
4.882697947,4.780058651,4.892473118,4.902248289,4.877810362,4.692082111,4.868035191,4.002932551,3.455522972,3.225806452,3.519061584,3.401759531,3.010752688,3.62170088,3.167155425
4.887585533,4.780058651,4.897360704,4.907135875,4.877810362,4.706744868,4.877810362,4.012707722,4.481915934,3.269794721,3.494623656,3.39198436,3.000977517,3.572825024,2.61485826
4.882697947,4.780058651,4.887585533,4.907135875,4.868035191,4.711632454,4.872922776,4.017595308,4.491691105,3.245356794,3.558162268,3.440860215,3.064516129,3.172043011,2.629521017
4.877810362,4.775171065,4.897360704,4.907135875,4.877810362,4.721407625,4.872922776,4.017595308,4.486803519,3.201368524,3.685239492,3.396871945,3.176930596,3.230694037,2.839687195
4.882697947,4.789833822,4.897360704,4.91202346,4.872922776,4.736070381,4.872922776,4.007820137,4.535679374,3.186705767,3.611925709,3.426197458,3.367546432,3.230694037,3.035190616
4.882697947,4.794721408,4.897360704,4.907135875,4.398826979,4.711632454,4.868035191,4.032258065,4.550342131,3.191593353,3.602150538,3.411534702,3.797653959,3.284457478,2.727272727
4.877810362,4.794721408,4.897360704,4.907135875,4.872922776,4.72629521,4.868035191,4.032258065,4.560117302,3.211143695,3.631476051,3.352883675,4.149560117,3.250244379,2.908113392
4.882697947,4.799608993,4.897360704,4.91202346,4.872922776,4.828934506,4.882697947,4.03714565,4.565004888,3.225806452,3.602150538,3.387096774,4.369501466,3.299120235,0
4.872922776,4.799608993,4.902248289,4.907135875,4.872922776,4.345063539,4.877810362,4.032258065,4.565004888,3.216031281,3.695014663,3.411534702,4.54056696,3.333333333,4.076246334
4.872922776,4.799608993,4.897360704,4.907135875,4.877810362,4.81427175,4.877810362,4.032258065,4.579667644,3.206256109,3.670576735,3.367546432,4.555229717,3.216031281,3.748778104
4.872922776,4.804496579,4.897360704,4.907135875,4.863147605,4.843597263,4.877810362,4.022482893,4.579667644,3.201368524,3.695014663,3.377321603,4.535679374,3.396871945,3.572825024
4.877810362,4.799608993,4.897360704,4.916911046,4.872922776,4.819159335,4.872922776,4.042033236,4.579667644,3.201368524,3.514173998,3.357771261,4.462365591,3.294232649,3.523949169
4.877810362,4.804496579,4.902248289,4.907135875,4.877810362,4.804496579,4.877810362,4.042033236,4.594330401,3.201368524,3.553274682,3.343108504,4.305962854,3.274682307,3.695014663
,,4.892473118,4.91202346,,,,4.022482893,4.604105572,3.230694037,3.724340176,3.352883675,3.484848485,3.387096774,3.528836755
,,4.897360704,4.907135875,,,,4.051808407,4.604105572,3.216031281,3.739002933,3.426197458,1.725317693,3.382209189,3.440860215
,,4.897360704,4.907135875,,,,4.03714565,4.604105572,3.255131965,3.685239492,3.455522972,0,3.230694037,3.098729228
,,4.897360704,4.91202346,,,,4.051808407,4.608993157,3.250244379,3.553274682,3.421309873,0,3.225806452,3.255131965
,,4.902248289,4.91202346,,,,4.046920821,4.618768328,3.250244379,3.479960899,3.445747801,0.992179863,3.250244379,3.411534702
,,4.897360704,4.91202346,,,,4.071358749,4.618768328,3.245356794,3.475073314,3.387096774,4.789833822,3.318670577,3.709677419
,,4.892473118,4.907135875,,,,4.002932551,4.618768328,3.269794721,3.406647116,3.367546432,4.809384164,3.357771261,3.680351906
,,4.892473118,4.916911046,,,,4.066471163,4.6285435,3.240469208,4.418377322,3.372434018,4.824046921,3.387096774,2.825024438
,,4.897360704,4.907135875,,,,4.03714565,4.633431085,3.269794721,4.389051808,3.367546432,2.663734115,3.308895406,4.213098729
,,4.897360704,4.916911046,,,,4.066471163,4.638318671,3.289345064,4.384164223,3.440860215,2.829912023,3.230694037,3.020527859
,,4.902248289,4.907135875,,,,4.061583578,4.633431085,3.289345064,4.428152493,3.401759531,2.785923754,3.191593353,3.519061584
,,4.902248289,4.91202346,,,,4.08113392,4.643206256,3.245356794,3.069403715,3.39198436,2.561094819,3.30400782,3.998044966
,,4.897360704,4.91202346,,,,4.061583578,4.633431085,3.264907136,3.445747801,3.382209189,2.248289345,3.274682307,4.012707722
,,4.902248289,4.91202346,,,,4.066471163,4.604105572,3.26001955,3.460410557,3.396871945,2.223851417,3.377321603,4.012707722
,,4.897360704,4.91202346,,,,4.066471163,4.608993157,3.279569892,3.465298143,3.34799609,2.355816227,3.338220919,4.046920821
